"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Discat","Standalone","For Sale","EUR",12,"N/A","N/A","funbot","",4,"",8,"424455","757537","1032413","2025-08-18","",""
"Texas Hold It","Standalone","For Sale","EUR",14,"N/A","N/A","funbot","",4,"",4,"429963","749171","1032313","2025-05-00","Q3 2025",""
"Shackleton Base: A Journey to the Moon","Standalone","For Sale","EUR",75,"N/A","N/A","Giant Roc","",4,"",170,"408180","731671","1032040","2025-06-02","",""
"Tiletum: Prospect for Silver","Expansion","For Sale","EUR",40,"N/A","N/A","Giant Roc","",4,"",76,"434042","745187","1031894","2025-06-00","",""
"Nucleum: Energy Research Institute","Expansion","For Sale","EUR",32,"N/A","N/A","Giant Roc","",4,"",65,"436059","752350","1032247","2025-08-20","",""
"Minos: Dawn of Faith","Expansion","For Sale","EUR",28,"N/A","N/A","Giant Roc","",4,"",47,"436060","754956","","0000-00-00","Q4 2025",""
"Windmill Valley: Blooming Sails","Expansion","For Sale","EUR",28,"N/A","N/A","Giant Roc","",4,"",76,"434507","758904","","0000-00-00","Q4 2025",""
"Brass: Lancashire","Standalone","For Sale","EUR",100,"N/A","N/A","Giant Roc","",4,"",35,"28720","733628","","0000-00-00","Q2 2025",""
"Marajoara","Standalone","For Sale","EUR",40,"N/A","N/A","Giant Roc","",4,"",70,"392463","727872","1031706","2025-05-00","",""
"Undaunted: Battle of Britain","Standalone","For Sale","EUR",35,"N/A","N/A","Giant Roc","",4,"",8,"366495","716608","1031378","2025-02-14","",""
"Let's talk NEON: Pink","Standalone","For Sale","EUR",13,"N/A","N/A","HABA","6-F301",4,"",14,"446396","758894","2012403001","2025-08-15","",""
"Let's talk NEON: Yellow","Standalone","For Sale","EUR",13,"N/A","N/A","HABA","6-F301",4,"",14,"445996","758246","2013260001","2025-08-15","",""
"Let's talk NEON: Blue","Standalone","For Sale","EUR",13,"N/A","N/A","HABA","6-F301",4,"",15,"446397","758896","2013265001","2025-08-15","",""
"Carni Flora","Standalone","For Sale","EUR",18,"N/A","N/A","HABA","6-F301",4,"",15,"446697","759362","2012211001","2025-08-15","",""
