objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"13 Monsters","292354","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","65850640","5.51626","6.35833","2.5","20940","140","thing","13 Monsters","2","8","75","75","30","2020","2,3,4,5,6,7,8","3,5,6","","No necessary in-game text","","","","","","standalone","","42","EUR","","","","Kickstarter","","","","","Twisted Stranger B.V.","Dutch; English; French; German; Spanish","2020","Multilingual kickstarter edition"
"13 Monsters: Armed to the Teeth","320519","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","86111339","0","6.54545","0","0","53","thing","13 Monsters: Armed to the Teeth","2","6","90","90","60","2021","","","","","","","","","","expansion","","15","EUR","","","2022-10-15","Spiel","","","","","Playing With Strangers B.V.","Dutch; English; French; German","2021","Multilingual retail edition"
"15 Days","298619","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","124694077","5.64894","6.32028","1.8","7611","1796","thing","15 Days","1","4","20","20","20","2020","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","ThunderGryph Games","English","2020","English edition"
"365 Adventures: The Dungeon – 2025","424055","0","17","0","1","0","0","0","0","0","0","0","3","","","","","","120950870","5.53191","6.48775","1","16445","302","thing","365 Adventures: The Dungeon – 2025","1","1","5","5","2","2024","1","1","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Gods","308663","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","86205346","5.50887","6.37179","3","23521","70","thing","7 Gods","2","6","180","180","30","2020","3,4,5,6","4","12+","","","","","","","standalone","","60","EUR","","","2021-10-15","Spiel","","","","","Studio Infinitus","English","2020","English edition"
"7 Wonders Dice","446231","0","2","0","1","0","0","0","0","0","0","0","4","","Spiel25","","","","137335152","5.90518","6.41974","2.5556","3866","2749","thing","7 Wonders Dice","2","7","30","30","25","2025","2,3,4,5,6,7","3,4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","2025-11-27","Secret Santa 2025","","","","","","","",""
"7 Wonders: Architects","346703","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","99527177","6.76763","7.03171","1.387","818","20643","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","37.5","EUR","","","2022-11-06","Spellenspektakel","","","","","Repos Production","English","2021","English edition"
"8 Dragons","454438","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149187874","0","7.32853","2.5","0","69","thing","8 Dragons","2","4","60","60","40","2027","","","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Abroad","437337","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149373659","5.88549","7.72558","2.75","4033","967","thing","Abroad","1","5","90","90","90","2025","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ada's Dream","413469","0","0","0","0","0","0","0","0","0","0","1","4","Leuk, maar leuk genoeg voor 85?","Spiel25","","","","135600734","6.31511","8.00555","3.9533","1841","2031","thing","Ada's Dream","1","4","120","120","90","2025","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","Spiel 25","","","","","",""
"Adrift: A Puzzletale","364276","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","138215584","5.63676","7.76139","2.9","8004","582","thing","Adrift: A Puzzletale","1","4","180","180","90","2022","1,2,3","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"De Alchemist","161970","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","63492590","7.39334","7.63627","3.923","179","33825","thing","Alchemists","2","4","120","120","120","2015","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","The Game Master BV","Dutch","2015","Dutch edition"
"Alchemists: The King's Golem","204650","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458967","6.55869","8.36173","4.5522","0","7711","thing","Alchemists: The King's Golem","2","4","120","120","120","2016","2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Czech Games Edition (CGE)","English","2016","English edition"
"Allemaal stekeltjes","296358","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","95877791","5.5267","6.17298","1","17723","279","thing","Hedgehog Haberdash","2","4","10","10","10","2020","2,3,4","4","2–6","","","","","","","standalone","","","","","","","","","","","","HABA","Dutch; English; French; German; Italian; Spanish","2020","Multilingual edition (Dutch packaging)"
