data:text/csv;charset=utf-8,"sep=,"
Game ID, Name, Image, Year Published, Price, Artists, Designers, Primary Family, Other Families, Categories, Mechanics, BGG Rating, User Rating, Complexity, Language Level, Play Time, Minimum Age, Recommended Min Age, Minimum Players, Maximum Players, Minimum Players (Base Game), Maximum Players (Base Game), Best with x Number of Players, Recommended with x Number of Players, Number of Plays, BGG Rank, Owners, Type
308663,"7 Gods","https://cf.geekdo-images.com/BN0-LH7FDXsptRxUGkWYCw__original/img/8k3ki3vJJi9fWvQTZ6AS67UUjRw=/0x0/filters:format(png)/pic6348681.png",2020,Unknown,"Studio Monnikenwerk","Joris Maas,Alexander Remi","","Containers: Triangular Boxes,Digital Implementations: Tabletopia","Dice,Exploration,Mythology","Area Majority / Influence,Dice Rolling,End Game Bonuses,Grid Movement,Hand Management,Hidden Victory Points,Variable Player Powers,Variable Set-up",6.4,"Not Rated",3.0,Unknown,30 - 180,14,12,2,6,2,6,"4","3,4,5,6","0",23451,"excali8ur",Base Game,
446231,"7 Wonders Dice","https://cf.geekdo-images.com/FJtnBtuDIkRO95pGLSd5aA__original/img/phjoEbQy9HWmWWkH0ocU-Cquv9s=/0x0/filters:format(jpeg)/pic8871909.jpg",2025,Unknown,"Agnès Ripoche","Antoine Bauza","Family Game","Admin: Upcoming Releases,Components: Dice Cup / Dice Tower / Dice Tray,Components: Dice with Icons,Constructions: Lighthouses,Digital Implementations: Board Game Arena,Game: 7 Wonders,Mechanism: Roll-and-Write,Versions & Editions: Dice Versions of Non-Dice Games,Versions & Editions: Roll- or Flip-and-Write Versions of Non-Writing Games","Ancient,City Building,Dice","Bingo,Dice Rolling,Die Icon Resolution,Paper-and-Pencil,Simultaneous Action Selection",6.4,"Not Rated",2.5,1,25 - 30,10,8,2,7,2,7,"3,4,5,6","2,3,4,5,6,7","2",3859,"excali8ur",Base Game,
346703,"7 Wonders: Architects","https://cf.geekdo-images.com/BGtYtHbLgYhYyNMoyOm1RA__original/img/05P7xaW8B4ueCvItryBjO5wVA5s=/0x0/filters:format(jpeg)/pic7416525.jpg",2021,Unknown,"Etienne Hebinger","Antoine Bauza","Family Game","Animals: Cats,Constructions: Lighthouses,Constructions: Pyramids,Digital Implementations: Board Game Arena,Game: 7 Wonders,Misc: LongPack Games","Ancient","Neighbor Scope,Open Drafting,Set Collection,Variable Player Powers",7.0,"Not Rated",1.4,1,25,8,6,2,7,2,7,"4","2,3,4,5,6,7","7",814,"excali8ur",Base Game,
454438,"8 Dragons","https://cf.geekdo-images.com/R5iIG_-VyhoDw2kYX-lVdA__original/img/iM3aQoOsbjmtlGLCpxP6HpDYk8U=/0x0/filters:format(jpeg)/pic9108005.jpg",2027,Unknown,"Pauliina Hannuniemi","Sönke Schmidt","","Admin: Upcoming Releases,Creatures: Dragons","Fantasy","",7.3,"Not Rated",2.5,Unknown,40 - 60,10,8,2,4,2,4,"","","0",Unknown,"",Base Game,
292354,"13 Monsters","https://cf.geekdo-images.com/adLgwGHlJcTPmMXzqZhVzA__original/img/anm6fa-dLRQLOCU42dirVtjn_Sg=/0x0/filters:format(png)/pic6525444.png",2020,Unknown,"Rens Willemsen","Rens Willemsen","","Crowdfunding: Kickstarter,Digital Implementations: Tabletopia","Card Game,Collectible Components,Dice,Fantasy,Fighting,Memory,Negotiation,Party Game","Chaining,Connections,Dice Rolling,Finale Ending,Highest-Lowest Scoring,Memory,Negotiation,Once-Per-Game Abilities,Re-rolling and Locking,Semi-Cooperative Game,Trading,Variable Player Powers,Variable Set-up",6.4,"8.0",2.5,1,30 - 75,6,Unknown,2,8,2,8,"3,5,6","2,3,4,5,6,7,8","1",20940,"excali8ur",Base Game,
320519,"13 Monsters: Armed to the Teeth","https://cf.geekdo-images.com/T7Zc2y_pNpS7Ji4YlGcEDg__original/img/kMoDENC93a4v7j3_arCvfXK4kC8=/0x0/filters:format(png)/pic6525445.png",2020,Unknown,"Rens Willemsen","Tom Terwan,Rens Willemsen","","","Collectible Components,Expansion for Base-game,Memory","Chaining,Deck Construction,Matching,Memory,Negotiation,Once-Per-Game Abilities,Passed Action Token,Tile Placement,Trading,Variable Phase Order,Variable Player Powers",6.5,"Not Rated",0.0,Unknown,60 - 90,6,Unknown,2,6,2,6,"","","0",Unknown,"excali8ur",Expansion,
298619,"15 Days","https://cf.geekdo-images.com/zGvQn8R2EoOMIlUiTKB89Q__original/img/oDE_hP7xCCxK5C2ivSI0-ihCXqY=/0x0/filters:format(png)/pic5168771.png",2020,Unknown,"Cinyee Chiu","Francesco Testini","Family Game","Components: Meeples (Animal) / Animeeples,Components: Wooden pieces & boards,Crowdfunding: Kickstarter,Digital Implementations: Board Game Arena,Series: The Matchbox Collection (Thundergryph),Theme: Seasons of the year","Animals,Card Game","Hand Management,Set Collection",6.3,"Not Rated",1.8,1,20,14,10,1,4,1,4,"3","1,2,3,4","5",7607,"excali8ur",Base Game,
424055,"365 Adventures: The Dungeon – 2025","https://cf.geekdo-images.com/xTnG122cWZhOdoI89XLKRg__original/img/TOwma_-0E994fEc5wWHQaQvZaAE=/0x0/filters:format(jpeg)/pic8284447.jpg",2024,Unknown,"Radja Sauperamaniane","Lee Ju-Hwa","","Category: Annual Calendar Games,Category: Dungeon Crawler,Components: Coloured Dice,Mechanism: Roll-and-Write,Misc: Limited Replayability,Players: Solitaire Only Games,Series: 365 Adventures","Adventure,Dice,Fantasy","Dice Rolling,Paper-and-Pencil,Re-rolling and Locking,Solo / Solitaire Game",6.5,"Not Rated",1.0,Unknown,2 - 5,14,6,1,1,1,1,"1","1","17",16663,"excali8ur",Base Game,
437337,"Abroad","https://cf.geekdo-images.com/i2rtJevFq95NLPU-d0kDQQ__original/img/Gjdj8fICdvbtMTuLbMWSlmyE_gs=/0x0/filters:format(png)/pic8650802.png",2025,Unknown,"Christian Schupp","Rodrigo Rego,Danilo Valente","","Components: Map (Continental / National scale),Continents: Europe,Misc: LongPack Games","Travel","Area Majority / Influence,End Game Bonuses,Hand Management,Income,Solo / Solitaire Game,Tags",7.8,"Not Rated",2.8,3,90,12,12,1,5,1,5,"3,4","1,2,3,4","0",3847,"",Base Game,
413469,"Ada's Dream","https://cf.geekdo-images.com/i3YeleJsNmnvcKdwgW3TKA__original/img/0bHPZadTVedYlWrXsy0LKZ0Kwf8=/0x0/filters:format(jpeg)/pic8030666.jpg",2025,Unknown,"Javier González Cava","Toni López","Strategy Game","Admin: Better Description Needed!,Components: Coloured Dice,Crowdfunding: Kickstarter,Historical Figures: Ada Lovelace,Mechanism: Dice Drafting,Players: Games with Solitaire Rules,Theme: Computer / Information Technology Industry","Dice,Industry / Manufacturing,Math","Dice Rolling,Hand Management,Rondel,Solo / Solitaire Game,Tech Trees / Tech Tracks",8.0,"Not Rated",4.0,2,90 - 120,14,14,1,4,1,4,"3","1,2,3,4","0",1860,"",Base Game,
364276,"Adrift: A Puzzletale","https://cf.geekdo-images.com/kQJJ2ZWqWMcqunKK5UCsjg__original/img/Bno9-Yu1cib1fGSGC1ERYWZS7is=/0x0/filters:format(png)/pic8790980.png",2022,Unknown,"Amelia Leonards","Rita Orlov","","Category: Escape Room Games","Fantasy,Murder / Mystery,Mythology,Puzzle","Cooperative Game,Solo / Solitaire Game,Storytelling",7.8,"Not Rated",2.9,Unknown,90 - 180,14,10,1,4,1,4,"2","1,2,3","0",8004,"",Base Game,
161970,"Alchemists","https://cf.geekdo-images.com/ztNshEv3Fsm46HCJaEOFPw__original/img/SP4ItZ27dLweUPbz_bF7C-P7GtA=/0x0/filters:format(png)/pic2241156.png",2014,Unknown,"David Cochard","Matúš Kotry","Strategy Game","Components: Digital Hybrid – App/Website Required,Components: Gems/Crystals,Components: Player Screens,Digital Implementations: Board Game Arena,Digital Implementations: Boiteajeux,Digital Implementations: VASSAL,Theme: Alchemy,Theme: Wizards","Deduction,Fantasy,Puzzle","Action Drafting,Constrained Bidding,Deduction,End Game Bonuses,Events,Hand Management,Open Drafting,Turn Order: Progressive,Worker Placement",7.6,"Not Rated",3.9,3,120,12,12,2,4,2,4,"4","2,3,4","0",179,"excali8ur",Base Game,
204650,"Alchemists: The King's Golem","https://cf.geekdo-images.com/VQUCSJnGsJHDjFXZr54klQ__original/img/9_3PigpZ3FlGVfXKyfeTYIq7Ib8=/0x0/filters:format(jpeg)/pic3195558.jpg",2016,Unknown,"David Cochard,Matúš Kotry,Jakub Politzer","Matúš Kotry","Strategy Game","","Deduction,Expansion for Base-game,Fantasy,Puzzle","Action Drafting,Deduction,End Game Bonuses,Hand Management,Open Drafting,Worker Placement",8.4,"Not Rated",4.6,2,120,14,14,2,4,2,4,"3","2,3,4","0",Unknown,"excali8ur",Expansion,
382158,"Almighty","https://cf.geekdo-images.com/ZAQzUeNiRNmWJqA0uU3RCQ__original/img/xqKKoQxQjwuRPI33bZHxFnYH7rg=/0x0/filters:format(png)/pic9033470.png",2027,Unknown,"Malachi Ray Rempen","Kevin Privalle,Malachi Ray Rempen","","Admin: Upcoming Releases,Crowdfunding: Kickstarter","Ancient,Fantasy,Humor,Mythology,Prehistoric,Religious","Area Majority / Influence,End Game Bonuses,Hand Management,Solo / Solitaire Game,Take That,Variable Player Powers",7.7,"Not Rated",2.7,Unknown,60 - 90,10,10,1,4,1,4,"4","1,2,3,4","0",15302,"",Base Game,
428577,"Ananda","https://cf.geekdo-images.com/0T5c0E4U7w67xV5f9T1VcQ__original/img/L8_OZ39AFhksF7h9g4jOK43S4AI=/0x0/filters:format(jpeg)/pic8415416.jpg",2024,Unknown,"Matthias Holländer","Dirk Barsuhn","","Religious: Buddhism,Theme: Psychology,Theme: Temple","","Hand Management,Pattern Building,Tile Placement",6.7,"Not Rated",1.5,1,30 - 45,10,8,2,4,2,4,"","2,3,4","4",12555,"excali8ur",Base Game,
